Time,EcoregionName,EcoregionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_Leaf,C_FRoot,C_Wood,C_CRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,StreamC,StreamN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
0, eco25, 20, 12, 0, 22134.8, 21843.8, 197.9, 57.1, 76, 116, 5.03, 1093.7, 7.7, 188.9, 66.1, 10083.2, 2520.8, 1314.6, 495.8, 42.2, 14.3, 19.1, 2.2, 400.9, 668, 13059.6, 8006.3, 5.3, 1, 29.4, 27.7, 3.9, 5.4, 0.2, 0.5, 0.1, 0.1, 11, 66, 309.1, 629, 0.2, -1.2, 0.1, 0.1, 6.9, 12.1, -11.4, 0, 104.85, 0.44, 0.05, 0, 0, 2.4, 1.2, 1021.1, 0, 0, 
0, eco26, 21, 860, 0, 11198.5, 16373.1, 9.7, 2.8, 3.5, 5.6, 5.96, 404.7, 0.4, 199.3, 69.7, 7504.5, 1876.1, 988.5, 343.3, 30.2, 10.9, 13.7, 1.8, 235.1, 328.8, 6608.3, 4026.2, 5.8, 1.2, 22.1, 22.3, 2.9, 4.1, 0.2, 0.4, 0.1, 0.1, 6.2, 31.7, 111.2, 190.5, 0.2, -1.1, 0.1, 0, 5.3, 10.3, -8.8, 0, 6.82, 0.06, 0.01, 0, 0, 0.1, 0.1, 346.4, 0, 0, 
0, eco27, 22, 878, 0, 13645.9, 15820.7, 11.5, 3.3, 4.3, 6.7, 7.52, 543.4, 0.4, 212.2, 74.3, 7230.9, 1807.7, 981.1, 343.1, 28.2, 12.4, 13.8, 1.7, 266.6, 405.4, 8139.5, 4834.4, 6, 1.2, 22.5, 21, 3.1, 4, 0.2, 0.4, 0.1, 0.1, 7.2, 39.2, 172.8, 258.2, 0.2, -1.1, 0.1, 0.1, 5.3, 9.2, -8.2, 0, 8.31, 0.04, 0.01, 0, 0, 0.1, 0.1, 485.7, 0, 0, 
0, eco28, 23, 746, 0, 10564.6, 14312.2, 13.1, 3.8, 4.9, 7.7, 8.54, 533.3, 0.5, 159, 55.7, 6572.7, 1643.2, 876.4, 310.4, 26.3, 10.2, 13.2, 1.6, 238.5, 355.2, 6252.7, 3718.2, 4.5, 0.9, 19.8, 19.7, 2.7, 3.7, 0.1, 0.4, 0.1, 0.1, 6.2, 35.8, 144.4, 286.5, 0.1, -0.9, 0.1, 0.1, 4.6, 9.4, -8, 0, 9.46, 0.05, 0.01, 0, 0, 0.2, 0.1, 482, 0, 0, 
0, eco29, 24, 2644, 0, 11955.7, 19243.8, 7.7, 2.2, 2.8, 4.7, 3.91, 656.9, 0.3, 399.5, 139.8, 8651.2, 2162.8, 1292.1, 460.2, 33, 20.4, 20.4, 2.7, 250.8, 399.2, 6761.1, 4544.6, 10.4, 2.2, 26.8, 24.2, 4.1, 5.1, 0.2, 0.6, 0.1, 0.2, 6.6, 42, 202.4, 328.2, 0.2, -1.7, 0.1, 0.1, 6.5, 13.8, -11.6, 0, 3.8, 0.01, 0, 0, 0, 0.1, 0, 584.2, 0, 0, 
0, eco30, 25, 39, 0, 8023.1, 19694.1, 96.5, 27.8, 36.6, 54.9, 5.48, 449.5, 4, 242.5, 84.9, 9020.3, 2255.1, 1192.8, 419.5, 36.4, 14.7, 17.6, 2.1, 185, 230.6, 4490.9, 3116.5, 6.8, 1.4, 27.5, 26.2, 3.7, 4.8, 0.2, 0.5, 0.1, 0.1, 4.9, 24.1, 113.1, 230.7, 0.2, -1.3, 0.1, 0.1, 6.5, 13.4, -11.3, 0, 52.31, 0.35, 0.05, 0, 0, 1.3, 0.6, 379.2, 0, 0, 
1, eco1, 0, 32, -157, 7086.9, 15199.2, 638.5, 183, 203.6, 292.4, 9.34, 455, 23.7, 205.4, 71.9, 6944.5, 1736.1, 884.9, 306.2, 22.9, 9.1, 11.9, 1.1, 145.1, 217.5, 4126.7, 2597.6, 6.1, 1.2, 22.8, 21.5, 3, 3.8, 0.1, 0.3, 0.1, 0.1, 3.8, 22.5, 110.7, 249.5, 0.1, -1, 0.1, 0.1, 5.2, 10, -8.1, 0, 1.7, 2.25, 0.34, 0, 0, 9.3, 3.5, 396.5, 0.01, 0, 
1, eco2, 1, 1239, -137, 14000.6, 12195.3, 468.5, 133.4, 148.3, 218.6, 14.29, 503.6, 15.3, 76.6, 26.8, 5660.9, 1415.2, 656.2, 225.7, 22, 3.6, 7.4, 0.6, 324.9, 410.3, 8392.5, 4872.9, 2.8, 0.5, 16.5, 16.7, 1.9, 2.7, 0.1, 0.2, 0, 0, 8.7, 39.7, 154.8, 244.5, 0.1, -0.5, 0.1, -0.2, 3.7, 6.7, -5.6, 0, 1.7, 2.65, 0.62, 0, 0, 7.2, 2.7, 462.4, 0.02, 0, 
1, eco3, 2, 689, -100.5, 6169.3, 22146, 779.6, 223.3, 241.1, 389.6, 6.7, 438.5, 32.6, 206.4, 72.2, 10207.1, 2551.8, 1199.2, 422.9, 32.6, 8.1, 14.7, 1.2, 121, 187.1, 3540.8, 2320.3, 6.5, 1.3, 29.3, 29.8, 3.5, 4.9, 0.2, 0.3, 0.1, 0.1, 2.8, 20.3, 96.1, 236.7, 0.2, -1.1, 0.1, 0, 6.2, 14.7, -12.5, 0, 1.7, 2.69, 0.33, 0, 0, 11, 4.4, 363.3, 0.01, 0, 
1, eco4, 3, 23, -132, 20546.1, 15748.7, 568.1, 162.2, 176.2, 288.3, 3.99, 833.9, 19.2, 129, 45.2, 7278.3, 1819.6, 868.2, 303.2, 25, 5.3, 9.6, 0.8, 440.8, 647.2, 12247.4, 7210.7, 4.2, 0.8, 20.8, 21.5, 2.5, 3.6, 0.1, 0.2, 0.1, 0, 11, 61.5, 262.3, 441.4, 0.1, -0.7, 0.1, 0.1, 4.5, 8, -7.4, 0, 1.7, 2.1, 0.24, 0, 0, 7.5, 3.1, 780.5, 0, 0, 
