Time,EcoregionName,EcoregionIndex,NumSites,AGB,
12, eco19,14,2108,23084.8, 
12, eco20,15,39,19568.8, 
12, eco21,16,98,14593.6, 
12, eco22,17,695,18289.1, 
12, eco23,18,688,15669, 
12, eco24,19,567,17659, 
12, eco25,20,12,8177.3, 
12, eco26,21,860,16390, 
12, eco27,22,878,13662.6, 
12, eco28,23,746,14006.2, 
12, eco29,24,2644,18911.7, 
12, eco30,25,39,17162.2, 
13, eco1,0,32,16524.8, 
13, eco2,1,1239,9772, 
13, eco3,2,689,23478.8, 
13, eco4,3,23,15408.5, 
13, eco6,4,3,21412, 
13, eco7,5,44,15186.8, 
13, eco8,6,6,13110.3, 
13, eco10,7,1861,14983.9, 
13, eco11,8,554,13878.1, 
13, eco12,9,71,20945.4, 
13, eco14,10,1,14008, 
13, eco16,11,3333,17940.9, 
13, eco17,12,7434,28529.7, 
13, eco18,13,2972,19433.4, 
13, eco19,14,2108,23393.1, 
13, eco20,15,39,19888.9, 
13, eco21,16,98,14932.4, 
13, eco22,17,695,18830, 
13, eco23,18,688,16004.1, 
13, eco24,19,567,18086.9, 
13, eco25,20,12,8449.3, 
13, eco26,21,860,16637.9, 
13, eco27,22,878,13909.4, 
13, eco28,23,746,14268.3, 
13, eco29,24,2644,19151.8, 
13, eco30,25,39,17496.9, 
14, eco1,0,32,16856.2, 
14, eco2,1,1239,9957.5, 
14, eco3,2,689,23893.9, 
14, eco4,3,23,15669.3, 
14, eco6,4,3,21899, 
14, eco7,5,44,15447.8, 
14, eco8,6,6,13347.2, 
14, eco10,7,1861,15258.9, 
14, eco11,8,554,14150, 
14, eco12,9,71,21327.7, 
14, eco14,10,1,14269, 
14, eco16,11,3333,18281.8, 
14, eco17,12,7434,28991.1, 
14, eco18,13,2972,19812.9, 
14, eco19,14,2108,23697.1, 
14, eco20,15,39,20204.2, 
14, eco21,16,98,15268.1, 
14, eco22,17,695,19375.2, 
14, eco23,18,688,16340.4, 
14, eco24,19,567,18515.5, 
14, eco25,20,12,8722.9, 
14, eco26,21,860,16885.4, 
14, eco27,22,878,14156.5, 
14, eco28,23,746,14533.6, 
14, eco29,24,2644,19390.4, 
14, eco30,25,39,17834.5, 
15, eco1,0,32,17188.9, 
15, eco2,1,1239,10145.5, 
15, eco3,2,689,24308.7, 
15, eco4,3,23,15935.3, 
15, eco6,4,3,22379, 
15, eco7,5,44,15717.3, 
15, eco8,6,6,13558.5, 
15, eco10,7,1861,15535.8, 
15, eco11,8,554,14425.6, 
15, eco12,9,71,21719.5, 
15, eco14,10,1,14526, 
15, eco16,11,3333,18623.2, 
15, eco17,12,7434,29445, 
15, eco18,13,2972,20192.4, 
15, eco19,14,2108,23996.4, 
15, eco20,15,39,20520.4, 
15, eco21,16,98,15608.5, 
15, eco22,17,695,19923.5, 
15, eco23,18,688,16677.3, 
15, eco24,19,567,18940.2, 
15, eco25,20,12,9017.4, 
15, eco26,21,860,17131.1, 
15, eco27,22,878,14407, 
15, eco28,23,746,14799.8, 
15, eco29,24,2644,19628.3, 
15, eco30,25,39,18174.2, 
16, eco1,0,32,17527.9, 
