"","Scenario","Time","AGB_M","AGB_SD","SRR_M","SRR_SD","Min_rate_M","Min_rate_SD","Fungi_M","Fungi_SD","GF_M","GF_SD","Lichen_M","Lichen_SD","Aesthetic_M","Aesthetic_SD","Recreation_M","Recreation_SD","Fungi_val_M","Fungi_val_SD","Carbon_flux_M","Carbon_flux_SD","Nitrogen_flux_M","Nitrogen_flux_SD","Timber_M","Timber_SD"
"182","Scenario 12",80,123.935300610315,52.8071569161183,4.12646498599509,0.123080013107558,22.6234672212491,1.83072460503314,1.97552484976228,0.171609216877558,16.2811557264495,2.4019977261696,29.7280489080075,2.19380612917978,3.86060039899789,0.125523389778521,3.55702799216909,0.3234431766956,0.492420319679373,0.106078965389,0.400672275293095,0.573689882881363,0.584182467313164,0.880923303398871,38.6711406841726,32.5692979879702
"183","Scenario 12",81,124.411288657307,53.3261021166192,4.12758783695569,0.124314726559961,22.606024839659,1.85049083267722,1.97689625925843,0.172974286657778,16.2621006110736,2.42079279814914,29.7453536281557,2.2109611017382,3.86166101859578,0.126626786978163,3.55961047615061,0.326029298938863,0.493534867720779,0.107420630756055,0.402770589086702,0.548694966392665,0.578204757080138,0.880202248229229,39.3874761084291,33.1906736785753
"184","Scenario 12",82,124.953500241231,53.8761915209035,4.12886597430528,0.125625419252236,22.5862213806531,1.87157459692668,1.9784705199018,0.17439674403236,16.2401981151896,2.44033861145978,29.7652024870745,2.22882463808492,3.86287385443026,0.127786723299839,3.56256986493476,0.328729723730494,0.494794483047154,0.108864337931429,0.445080583297151,0.555460784238323,0.598397018381811,0.884160746697324,40.1403938598801,33.8236025696037
"185","Scenario 12",83,125.447152084238,54.4000483004041,4.13003068656468,0.126872022041401,22.5681181826637,1.89154113301562,1.9798903383591,0.175771613371473,16.2204660908691,2.45927678939439,29.7831025773922,2.24607452487604,3.86397276546407,0.128899277709712,3.56524230902232,0.331332830834494,0.495953141335218,0.110221801183472,0.438803963429342,0.532875307798787,0.595791720943713,0.887245399584429,40.882880537075,34.4485045661397
"186","Scenario 12",84,125.961750024123,54.9206686947362,4.13124432945774,0.128113092318856,22.5492812262814,1.91153694214814,1.98137670966005,0.177110190170808,16.199782988679,2.47768325079771,29.8018133027612,2.26283384258627,3.86512060780893,0.129993731763279,3.5680343197806,0.333869156541531,0.497156434739288,0.11159669089665,0.455619228542486,0.528429899252287,0.608101751338822,0.881595582421756,41.6194464882232,35.0692347720742
"187","Scenario 12",85,126.458215479809,55.4852665669226,4.13241753409485,0.129458636304023,22.5309445558668,1.93319661884709,1.9827807100237,0.178566592035438,16.1802672872058,2.49773847804217,29.8194338364645,2.28103198856619,3.86621580350455,0.131182272508537,3.57067033537382,0.336622613482107,0.498345375738264,0.113085104732574,0.456305266078051,0.545169540666773,0.627598060500795,0.896350342669283,42.3523844180251,35.6921850504226
"188","Scenario 12",86,126.909949148454,56.0091707028969,4.13348565878433,0.130705458539116,22.5142160091472,1.95317384727951,1.98405013100403,0.179940969325917,16.1626417071367,2.5167287363322,29.8353749036105,2.29816927032489,3.8672092447927,0.132293843025636,3.57305829076373,0.339208819425321,0.499433992124626,0.114448239145768,0.44001278525595,0.52445333204671,0.612816616008104,0.901705091436165,43.0898527791175,36.3072687577533
"189","Scenario 12",87,127.384643194867,56.5428803043162,4.13460782395018,0.131978438131322,22.4966547204455,1.97372465295798,1.98538728906519,0.181305491505053,16.1440457278357,2.53555812180566,29.8521217623454,2.31511171893251,3.86825416330669,0.13341156696703,3.57556646165291,0.341773995407693,0.500576706603773,0.115871656148132,0.451407789356881,0.532103583502182,0.59832706132098,0.876883744253096,43.8548395975674,36.9261771488748
"190","Scenario 12",88,127.840714333961,57.045291238025,4.13568590576265,0.133175650156404,22.4797865496518,1.99299026676887,1.98667275273917,0.182603525885143,16.1261758894866,2.55348157877652,29.8682371311688,2.33125002653261,3.86925850109957,0.134469423287693,3.57798020091963,0.344216293901729,0.501673399780024,0.117197975894292,0.44724290780142,0.509876484188245,0.631726733246502,0.897931800545485,44.5886254592441,37.5331339263665
"191","Scenario 12",89,128.249317870411,57.5180665578653,4.13665277717194,0.134302810237195,22.4646040347042,2.01115810950338,1.9878115850567,0.1838170522508,16.1103452972334,2.57022309382198,29.8824758211806,2.34633475865517,3.87015297079864,0.135461887655575,3.58011545781034,0.346502951647998,0.502668456984462,0.11845218899596,0.425946024509088,0.491959064577388,0.623123220919571,0.906011236801152,45.3149959513311,38.1295646544244
"192","Scenario 12",9,64.9902485646741,17.6090791957666,3.9897541288411,0.0403235707786263,24.619043317842,0.559859206145489,1.77551595572536,0.0664352210758181,19.0989986425938,0.954237487208057,27.1823801610627,0.830123282892475,3.71718144144094,0.0453626306427832,3.18368490157475,0.119762853010069,0.381529990442634,0.0277794178344611,-4.28449756356443,2.07523133132387,1.40877358035415,0.400939208661777,4.93557102512619,2.44721108022398
"193","Scenario 12",90,128.561592886091,58.0323798609558,4.13739705361652,0.135525708629441,22.4526251433964,2.0306921302215,1.98861299716909,0.185180336871235,16.0992762925862,2.58913266105006,29.892406146895,2.3632469603599,3.87080881806642,0.136558165174448,3.58162157039198,0.349054037328448,0.503492098193483,0.119781191627683,0.343591499010956,0.513439312778864,0.645640951416023,0.906982675153883,46.0728391925664,38.7288420386833
"194","Scenario 12",91,128.955646475612,58.5363732281522,4.13833157387695,0.136727136790181,22.4378372186976,2.05005084807365,1.9896844757062,0.18647736049286,16.0843966757212,2.60708906385696,29.9057432979002,2.3792728040467,3.87166053426959,0.137616575042432,3.5836295148491,0.351480813517222,0.504477217611495,0.121120583464019,0.343873232981137,0.507978494672739,0.631490326627104,0.898124669985766,46.8298261627373,39.3174889290637
"195","Scenario 12",92,129.391815663145,58.9857739313789,4.13936251051148,0.137799904281783,22.4217121682087,2.06741641134919,1.99091513466525,0.187614832230168,16.0672633830896,2.62281118544409,29.921128786285,2.39330701821666,3.87262133141043,0.138552748366553,3.58593545044,0.353612478645795,0.505526543909337,0.122332443822112,0.37456649539248,0.476062849061289,0.634251218217789,0.909595421680001,47.5751654327045,39.8976277959422
