"","EcoregionName","Scenario","Time","EcoregionIndex","NumSites","AGB","SRR","Min_rate","Fungi","GF","Lichen","Aesthetic","Recreation","Fungi_val","Replicate","Carbon_flux","Nitrogen_flux","Timber"
"7573"," eco22","Scenario 3",97,17,695,419.711333333333,4.84007892096228,10.668804415348,2.62289375620244,6.74842415850711,36.3645161044938,1.43326519808901,4.43325865197188,4.72964971957722,2,0.335000000000017,1.5,766.714078734686
"7574"," eco22","Scenario 3",98,17,695,419.924666666667,4.84061207685903,10.6588853171144,2.62312273591643,6.74395377765078,36.3641765439277,1.43426224321314,4.43357292435986,4.73004339378632,2,0.32566666666664,1.56666666666661,766.815174503554
"7575"," eco22","Scenario 3",99,17,695,420.125333333333,4.84111360714319,10.6495530205976,2.62333772636768,6.73975188441874,36.3638477120364,1.43520072061697,4.43386838077038,4.73041312787529,2,0.319666666666649,1.5,766.903661320504
"7576"," eco22","Scenario 4",0,17,695,322.611,4.59962064470374,15.0281231131416,2.49014694021586,9.01748658099763,35.8404237465461,1.02353072764051,4.27870102454951,4.50552125004173,2,NA,NA,555.655153111263
"7577"," eco22","Scenario 4",1,17,695,326.825,4.60993485661196,14.8474597392154,2.49747224565185,8.90534880934164,35.899936774947,1.03900210011078,4.28605190375682,4.51795755201152,2,1.12399999999991,3.19999999999993,562.726636421768
"7578"," eco22","Scenario 4",10,17,695,147.517666666667,4.1862403590534,21.4680201632568,1.99001552299861,16.0708382148135,29.7321634174146,0.601652525559008,3.89122036138247,3.58103088765879,2,-3.30166666666664,1.6666666666667,609.168580242432
"7579"," eco22","Scenario 4",100,17,695,317.549333333333,4.58899170641981,15.1214399249864,2.45864952641548,9.3636779647701,35.2486422021028,1.03689878837826,4.26040595025083,4.44789076159897,2,1.819,1.56666666666661,766.981633406981
"7580"," eco22","Scenario 4",11,17,695,150.088333333333,4.19232357678487,21.3724810230946,1.99717651929414,15.9646296302777,29.8099560425045,0.608415264591583,3.89679548545653,3.59352426296276,2,-2.61300000000001,1.66666666666663,616.320469082797
"7581"," eco22","Scenario 4",12,17,695,152.627666666667,4.19833844674152,21.2776988358436,2.00417543932557,15.8606807086707,29.88552830489,0.61518023386833,3.90227328070399,3.60575855619395,2,-2.06266666666668,1.63333333333333,623.427788043905
"7582"," eco22","Scenario 4",13,17,695,155.085666666667,4.20416459674926,21.1856760871482,2.01089946852136,15.7606846242649,29.9577725795433,0.62178915918857,3.9075558254864,3.61753328567308,2,-1.65833333333334,1.60000000000002,630.34755379227
"7583"," eco22","Scenario 4",14,17,695,157.467,4.20980997724553,21.09645668606,2.01740149292965,15.6639332980521,30.0275195515159,0.628210982179487,3.91266960073268,3.62894634819015,2,-1.335,1.46666666666666,636.959543086532
"7584"," eco22","Scenario 4",15,17,695,159.754666666667,4.21523453598238,21.0106600359189,2.02363188010515,15.5711662047154,30.0942271753365,0.634402463251143,3.91757669932553,3.63990748658536,2,-1.09199999999998,1.4666666666667,643.283952880978
"7585"," eco22","Scenario 4",16,17,695,161.965,4.22047556473358,20.9277746380596,2.0296536606137,15.4814904779141,30.1587062048629,0.640386735001592,3.92231973683612,3.65052871216473,2,-0.881999999999996,1.3333333333333,649.324235390778
"7586"," eco22","Scenario 4",17,17,695,164.099666666667,4.22553719111368,20.8477256465393,2.03546910912587,15.3948708453413,30.2209697281113,0.646170181148321,3.92690124120761,3.6608103553767,2,-0.714333333333352,1.33333333333333,655.055727405012
"7587"," eco22","Scenario 4",18,17,695,166.158666666667,4.23041920752646,20.77052765041,2.04108090295228,15.3112857520074,30.281084767515,0.651748682606088,3.93132231662454,3.67075689709024,2,-0.573333333333314,1.26666666666669,660.504792634264
"7588"," eco22","Scenario 4",19,17,695,168.154666666667,4.23514941890374,20.6958623504997,2.04655230561281,15.2298507283943,30.3399161021352,0.657124908836138,3.9356218198376,3.68048040003014,2,-0.447333333333357,1.09999999999998,665.676068646644
"7589"," eco22","Scenario 4",2,17,695,329.230333333333,4.61582702668391,14.7439961938911,2.50159079964981,8.84193460854621,35.9324686547118,1.04791993629873,4.29022139899363,4.52493447420241,2,0.648333333333388,2.30000000000007,566.481556738921
"7590"," eco22","Scenario 4",20,17,695,170.104333333333,4.23976729923502,20.6231079358731,2.05192930571739,15.1498951394401,30.3979809666184,0.662342198343945,3.93983578432684,3.69006216209905,2,-0.331666666666659,1.13333333333333,670.611340265828
"7591"," eco22","Scenario 4",21,17,695,171.994,4.24424117748971,20.5527252640212,2.05716519532633,15.0721087415787,30.4547372241647,0.667372622637202,3.94393099355498,3.69941785504363,2,-0.235333333333339,1.00000000000004,675.275086817372
"7592"," eco22","Scenario 4",22,17,695,173.832666666667,4.2485911250824,20.4844660184398,2.0623008587721,14.9959190895413,30.5107342769486,0.672222193543195,3.94793339772865,3.70861954204178,2,-0.150333333333341,0.966666666666621,679.687801928973
"7593"," eco22","Scenario 4",23,17,695,175.633,4.25284712979849,20.4178584975189,2.06737140791894,14.9208145901558,30.5663680813834,0.67692366655011,3.95187045136666,3.71772943864723,2,-0.0649999999999882,0.900000000000015,683.8953219976
"7594"," eco22","Scenario 4",24,17,695,177.404333333333,4.25703163240731,20.3525309210848,2.07239827166366,14.846474874305,30.621852455532,0.681506056529036,3.95576055255796,3.72678478360833,2,0.0176666666666658,0.80000000000003,687.908848894501
"7595"," eco22","Scenario 4",25,17,695,179.145,4.26114140458836,20.2884949362017,2.07736757739048,14.773093923827,30.6769867754225,0.68597442614266,3.95959629043359,3.7357594770678,2,0.0923333333333384,0.799999999999955,691.734694328869
"7596"," eco22","Scenario 4",26,17,695,180.867333333333,4.26520530054082,20.2253154599362,2.08231795503637,14.7001103437453,30.7322237085169,0.690356342891288,3.96340619810824,3.74472224003376,2,0.167333333333346,0.700000000000008,695.400532873831
"7597"," eco22","Scenario 4",27,17,695,182.572666666667,4.26922783640564,20.1628472968839,2.08723556708167,14.6276914975397,30.7872939567847,0.69467468063691,3.96718592612409,3.75364544096856,2,0.236999999999995,0.666666666666667,698.932624271376
"7598"," eco22","Scenario 4",28,17,695,184.248,4.27317851657126,20.1015547913544,2.09208074948134,14.5564327902453,30.8417658868168,0.698897703326742,3.97090586811699,3.76245883315772,2,0.295333333333313,0.566666666666682,702.345789125224
"7599"," eco22","Scenario 4",29,17,695,185.940333333333,4.27716707501883,20.0397956603355,2.09700360136078,14.4841553849696,30.8974156213141,0.703128041659794,3.97467614463062,3.77143501507411,2,0.378666666666694,0.599999999999985,705.624050129672
"7600"," eco22","Scenario 4",3,17,695,332.256,4.62324379976841,14.6134968762591,2.50670681477825,8.76277336306756,35.9719009297781,1.05922791266361,4.29543905154027,4.53358650501795,2,1.33766666666668,2.5,571.487252868595
"7601"," eco22","Scenario 4",30,17,695,187.613333333333,4.28111045671536,19.9787147453553,2.10186519977187,14.4128242857563,30.9524504063988,0.707312290798705,3.97840210130851,3.78031703365269,2,0.434999999999974,0.5,708.835926015212
"7602"," eco22","Scenario 4",31,17,695,189.295666666667,4.28507426349247,19.9174037049452,2.10677422285674,14.3409115189935,31.0082858301194,0.711492722935837,3.98215807793063,3.78930641509646,2,0.504000000000029,0.533333333333341,711.955842409058
"7603"," eco22","Scenario 4",32,17,695,190.966666666667,4.28901169629369,19.8564825830752,2.11164593367523,14.2696022173736,31.0637930082874,0.715645652175801,3.98588784068201,3.79824519077916,2,0.556666666666663,0.433333333333318,714.986441326223
"7604"," eco22","Scenario 4",33,17,695,192.627333333333,4.29292397204125,19.7959949952207,2.11649794233977,14.198662254739,31.1192533616292,0.719757528046065,3.98959956037507,3.80716434582803,2,0.607666666666669,0.400000000000015,717.898563758831
"7605"," eco22","Scenario 4",34,17,695,194.281,4.29681925840166,19.7357974030556,2.12133592746226,14.1280177190624,31.1747359173498,0.723839803621398,3.99329913921767,3.81607639206596,2,0.656999999999992,0.399999999999977,720.719109663805
"7606"," eco22","Scenario 4",35,17,695,195.942333333333,4.30073120427107,19.6754190884349,2.12621439342041,14.0568968990439,31.2309385048427,0.727915569686743,3.9970241133087,3.82508131678839,2,0.71199999999997,0.366666666666712,723.441238075446
"7607"," eco22","Scenario 4",36,17,695,197.616666666667,4.3046722315762,19.6146758122672,2.131150761656,13.9850566258791,31.2880846749939,0.731995327316489,4.00078719113325,3.83421174004352,2,0.772000000000001,0.333333333333333,726.038702122522
"7608"," eco22","Scenario 4",37,17,695,199.289,4.30860713137757,19.554104881114,2.13609954576231,13.9131644298958,31.345653348257,0.736043262303468,4.00455417429894,3.84338395450962,2,0.817333333333361,0.266666666666614,728.548739660441
"7609"," eco22","Scenario 4",38,17,695,200.957333333333,4.31253286550491,19.4936615336814,2.14103331933559,13.8415688290548,31.4031812035338,0.740079160220497,4.00831166452156,3.85254502917568,2,0.857666666666669,0.299999999999992,730.957819677201
"7610"," eco22","Scenario 4",39,17,695,202.638333333333,4.31648679431846,19.4328724966568,2.14602532987461,13.7692749044611,31.4617030153454,0.744114773799073,4.01210713371228,3.86183335471841,2,0.908333333333312,0.266666666666727,733.251315657805
"7611"," eco22","Scenario 4",4,17,695,335.599333333333,4.63144576653658,14.4688394197216,2.51227610958078,8.67608198896168,36.0135367783811,1.07184077535673,4.30116938432675,4.54298752421409,2,1.75899999999998,2.59999999999991,577.256030826606
"7612"," eco22","Scenario 4",40,17,695,204.307,4.32041053792791,19.3726120804003,2.1509958760768,13.6974151392523,31.5202316510175,0.74809698120514,4.01588178575698,3.87109820670859,2,0.939333333333375,0.233333333333311,735.427973409882
"7613"," eco22","Scenario 4",41,17,695,205.981333333333,4.32434757346348,19.3121493302286,2.15598372505381,13.6253966569602,31.5791279169883,0.752085661025757,4.01967020281087,3.88041061905581,2,0.980333333333306,0.200000000000008,737.464201386377
"7614"," eco22","Scenario 4",42,17,695,207.668333333333,4.32831173161793,19.2514162311748,2.16104363715051,13.5525316209945,31.6393040462497,0.75605634547767,4.02350233685131,3.88987688097459,2,1.027,0.233333333333273,739.36627526479
"7615"," eco22","Scenario 4",43,17,695,209.338,4.33223359500253,19.1914170858127,2.16607173650964,13.4802769538888,31.6994203418771,0.759954954251557,4.0273042260713,3.89930013896565,2,1.04933333333334,0.133333333333364,741.159211964257
"7616"," eco22","Scenario 4",44,17,695,211.020333333333,4.33618504778884,19.1309742356936,2.17114008557684,13.407554928871,31.7602176184747,0.763872679337918,4.03113660867565,3.90881374034246,2,1.08866666666667,0.166666666666667,742.827149622558
"7617"," eco22","Scenario 4",45,17,695,212.706,4.34014277680106,19.0705207703137,2.1762385066386,13.3345643340685,31.8217102523706,0.767765958527614,4.03498566666143,3.91839993111319,2,1.12099999999999,0.133333333333364,744.362443809488
"7618"," eco22","Scenario 4",46,17,695,214.402,4.34412354203226,19.0097828149062,2.18138398166877,13.2610507679908,31.884072081619,0.771655887805513,4.0388656121122,3.92808943031516,2,1.158,0.133333333333326,745.803208084164
"7619"," eco22","Scenario 4",47,17,695,216.084333333333,4.3480717104266,18.9495707790445,2.18649468862535,13.1881628859264,31.9462526451985,0.775497829057649,4.0427177924544,3.93772698273092,2,1.17933333333334,0.133333333333326,747.139164303776
"7620"," eco22","Scenario 4",48,17,695,217.778666666667,4.35204751853658,18.8889659640738,2.1916485869018,13.1147949862299,32.0092102014881,0.779349842991652,4.04660097817394,3.94745939492769,2,1.21366666666664,0.099999999999947,748.356878561087
"7621"," eco22","Scenario 4",49,17,695,219.48,4.35603977582873,18.8281091169143,2.19682347559387,13.0412404252118,32.072616257371,0.783209210149531,4.0505007565655,3.95724304181889,2,1.2446666666667,0.133333333333402,749.490144642634
"7622"," eco22","Scenario 4",5,17,695,133.578,4.15344872121698,21.9723754262178,1.94866763652952,16.6812390625665,29.2704309320109,0.567620978659967,3.8599920112568,3.50936061803471,2,-82.5366666666667,-18.8666666666666,574.969419293902
"7623"," eco22","Scenario 4",50,17,695,221.172333333333,4.3600109920732,18.7675687282909,2.20196998504171,12.9681982204968,32.135858923549,0.787040483312088,4.05438013037557,3.9669837636937,2,1.26366666666665,0.0666666666666439,750.554985289412
"7624"," eco22","Scenario 4",51,17,695,222.868,4.36399052345437,18.7068744377104,2.20712027121925,12.8952009645755,32.1993002005474,0.790877699952518,4.05826513983877,3.97674155466947,2,1.28933333333333,0.133333333333326,751.514580111844
"7625"," eco22","Scenario 4",52,17,695,224.563,4.3679688772463,18.6461768128243,2.21226354149059,12.8224102488405,32.2628247128873,0.794709694179167,4.06214718106705,3.98649570452212,2,1.3156666666667,0.0999999999999848,752.421584740646
"7626"," eco22","Scenario 4",53,17,695,226.271333333333,4.37197986484616,18.584907624869,2.21743000155671,12.7493647023281,32.3267156944884,0.798582967467985,4.06605318463348,3.99630167778942,2,1.34366666666666,0.0666666666666818,753.261745762292
"7627"," eco22","Scenario 4",54,17,695,227.985666666667,4.37600517698696,18.5234065801985,2.22261154852512,12.6762199216637,32.3909785389647,0.802463517098157,4.06997221996681,4.00614465990023,2,1.36833333333335,0.133333333333326,754.030072876859
"7628"," eco22","Scenario 4",55,17,695,229.705666666667,4.38004436393595,18.4616622389339,2.22780288100037,12.60303588572,32.4555105747251,0.806356001818889,4.07390169802805,4.01601328624901,2,1.39166666666663,0.0999999999999848,754.748312640558
"7629"," eco22","Scenario 4",56,17,695,231.431333333333,4.38409839939853,18.3996061728572,2.23299144137485,12.529957590231,32.5200681364436,0.810275457986718,4.07783637772044,4.02588202727715,2,1.414,0.166666666666705,755.416155694338
"7630"," eco22","Scenario 4",57,17,695,233.152,4.38814131586791,18.3376858261292,2.2381568782101,12.4573014575142,32.584478528189,0.814183492288567,4.08175677785976,4.0357122812395,2,1.43266666666668,0.133333333333326,756.036196534511
"7631"," eco22","Scenario 4",58,17,695,234.873,4.39218644197113,18.2756532402949,2.2433049194859,12.3849617867188,32.6487430071808,0.818104446570715,4.08567075395962,4.04551343647547,2,1.44900000000002,0.133333333333364,756.623773626888
"7632"," eco22","Scenario 4",59,17,695,236.595666666667,4.39623690127187,18.2134610848479,2.24843968736399,12.3128760152779,32.7129050479265,0.822041550751533,4.08958134815408,4.05529238371375,2,1.46266666666665,0.13333333333325,757.161904486191
"7633"," eco22","Scenario 4",6,17,695,136.577666666667,4.16047376489378,21.8660477868688,1.95796976191596,16.5441908200444,29.375955444712,0.574532591055873,3.8668714723342,3.52540345053891,2,-8.66000000000001,1.69999999999997,581.372327206872
"7634"," eco22","Scenario 4",60,17,695,238.331,4.4003186882581,18.1507030648393,2.25359228678784,12.2405994881565,32.7773349078842,0.826022227831314,4.09351279376015,4.06510739433498,2,1.49166666666666,0.166666666666705,757.689783043832
"7635"," eco22","Scenario 4",61,17,695,240.087666666667,4.40445306557902,18.0870041030993,2.25877713759489,12.1679006553821,32.8421327922961,0.830079996608101,4.09747999443853,4.07498427390086,2,1.51699999999999,0.200000000000045,758.162792935385
