"","Scenario","variable","Time","Mean","SD"
"161","2","m_pinus_sylv",80,4.46302600492626,2.6766961174159
"162","2","m_pinus_sylv",90,4.61909584390451,2.95082248251757
"163","2","m_pinus_sylv",100,4.64753909610618,3.13223743586302
"164","2","m_fagus_sylv",0,79.1282831827026,44.7284836479118
"165","2","m_fagus_sylv",10,70.6078045066941,38.4239294738731
"166","2","m_fagus_sylv",20,77.4104099577654,41.3848663850702
"167","2","m_fagus_sylv",30,83.3547031723116,43.895282911359
"168","2","m_fagus_sylv",40,88.5119010443598,46.202586594977
"169","2","m_fagus_sylv",50,93.1860708626573,48.1864922325307
"170","2","m_fagus_sylv",60,97.5745119015265,49.7922100833384
"171","2","m_fagus_sylv",70,101.854617464522,51.152502489102
"172","2","m_fagus_sylv",80,106.130467561258,52.3018056263227
"173","2","m_fagus_sylv",90,110.463449366382,53.2366567791895
"174","2","m_fagus_sylv",100,114.860305561887,53.9526044070871
"175","2","m_ilex_aqui",0,21.5877819771685,17.5180198777401
"176","2","m_ilex_aqui",10,26.2106305632271,20.0407715298086
"177","2","m_ilex_aqui",20,28.9445444937204,21.0447968104469
"178","2","m_ilex_aqui",30,30.3975399982802,21.4582461772222
"179","2","m_ilex_aqui",40,30.6721087116016,21.5436546427178
"180","2","m_ilex_aqui",50,30.1547641360095,21.2771466810448
"181","2","m_ilex_aqui",60,29.0550923617656,20.422988330442
"182","2","m_ilex_aqui",70,27.4702782141842,18.9655246833025
"183","2","m_ilex_aqui",80,25.5487986501734,17.1798258603551
"184","2","m_ilex_aqui",90,23.5074630730006,15.3722298348096
"185","2","m_ilex_aqui",100,21.5059279560365,13.7315109167281
"186","3","m_betu_pend",0,10.7407202464987,5.92101895168877
"187","3","m_betu_pend",10,13.5497333581408,6.96072697225368
"188","3","m_betu_pend",20,16.8653260128369,8.03568483777429
"189","3","m_betu_pend",30,19.892143649161,9.07683182065881
"190","3","m_betu_pend",40,22.7059565023497,9.92962930846716
"191","3","m_betu_pend",50,25.2638509967521,10.4707988724553
"192","3","m_betu_pend",60,27.3593312578337,10.7930893812593
"193","3","m_betu_pend",70,28.9352891860396,11.2612195557337
"194","3","m_betu_pend",80,29.9323713587529,12.0347615434312
"195","3","m_betu_pend",90,30.4685761363738,12.9853159383759
"196","3","m_betu_pend",100,30.6274263503322,14.0139182611339
"197","3","m_quercus",0,112.62815261581,58.2040997699516
"198","3","m_quercus",10,77.1188894725555,40.8589733251567
"199","3","m_quercus",20,86.6264154107342,42.4979636960439
"200","3","m_quercus",30,95.2886028459411,43.6261943958188
"201","3","m_quercus",40,103.201067446594,44.5040604734322
"202","3","m_quercus",50,110.755788872328,45.4979024141619
"203","3","m_quercus",60,117.954264562954,46.3948144088312
"204","3","m_quercus",70,125.181083306713,46.8692777852043
"205","3","m_quercus",80,132.355276566165,46.8579547091521
"206","3","m_quercus",90,139.213785675424,46.2630183081404
"207","3","m_quercus",100,145.77905172263,45.1099369996732
"208","3","m_pinus_sylv",0,1.38998336636452,1.22894115421857
"209","3","m_pinus_sylv",10,1.82003624337124,1.51395363002621
"210","3","m_pinus_sylv",20,2.32552891690027,1.80969457616879
"211","3","m_pinus_sylv",30,2.90334684079259,2.01950966275627
"212","3","m_pinus_sylv",40,3.52333193291715,2.13849288104629
"213","3","m_pinus_sylv",50,4.16779078312524,2.2217643712198
"214","3","m_pinus_sylv",60,4.78488298905188,2.38862098335511
"215","3","m_pinus_sylv",70,5.35025706179289,2.71867590943481
"216","3","m_pinus_sylv",80,5.86342638650463,3.23436345051939
"217","3","m_pinus_sylv",90,6.29238075087641,3.8812974849088
"218","3","m_pinus_sylv",100,6.61617335435593,4.56163000449858
"219","3","m_fagus_sylv",0,79.1282831827026,44.7284836479118
"220","3","m_fagus_sylv",10,52.6637514779964,39.4513689726172
"221","3","m_fagus_sylv",20,57.9514348915148,43.2554303016138
"222","3","m_fagus_sylv",30,62.6177742819925,46.2567737607981
"223","3","m_fagus_sylv",40,66.7950137831213,48.7708145238786
"224","3","m_fagus_sylv",50,70.8080965763561,50.9588860602237
"225","3","m_fagus_sylv",60,74.8011179057629,52.9160330063319
"226","3","m_fagus_sylv",70,78.864263585966,54.7500121304902
"227","3","m_fagus_sylv",80,82.9962643329553,56.4823185269203
"228","3","m_fagus_sylv",90,87.2019670966655,58.1057568994602
"229","3","m_fagus_sylv",100,91.4473413820829,59.5843313983223
"230","3","m_ilex_aqui",0,21.5877819771685,17.5180198777401
"231","3","m_ilex_aqui",10,26.8202939525538,19.6530212411598
"232","3","m_ilex_aqui",20,30.2646068869009,20.2875711808175
"233","3","m_ilex_aqui",30,32.4588214693638,20.4296858916098
