"Scenario","Replicate","Variable","Time","Resistance","Resistance2","Recovery","value","variable","ESLab","Scen_lab","Scen_lab2"
"Scenario 11",2,"SRR_M",100,0.909813942680679,0.957450477555353,0.00389017989002845,3.50869168746106,"SRR_M","Soil respiration rate",80,"Pulse + Press"
"Scenario 12",2,"SRR_M",100,0.884324713947166,0.929173875502896,0.00264763726920598,3.45497802872549,"SRR_M","Soil respiration rate",100,"Pulse + Press"
"Scenario 2",2,"SRR_M",100,0.981414551332164,1,-0.0162773529794746,3.74345175991808,"SRR_M","Soil respiration rate",20,"Pulse"
"Scenario 3",2,"SRR_M",100,0.96627772795877,1,-0.0259438822043046,3.73216260886965,"SRR_M","Soil respiration rate",40,"Pulse"
"Scenario 4",2,"SRR_M",100,0.936719327976882,1,0.343626622545495,3.69688012200214,"SRR_M","Soil respiration rate",60,"Pulse"
"Scenario 5",2,"SRR_M",100,0.909725176334389,1,0.027220468763293,3.66163981208143,"SRR_M","Soil respiration rate",80,"Pulse"
"Scenario 6",2,"SRR_M",100,0.884331517840344,1,0.0149776798388203,3.62508222134763,"SRR_M","Soil respiration rate",100,"Pulse"
"Scenario 7",2,"SRR_M",100,1,1,-0.00888747908620079,3.72738473801605,"SRR_M","Soil respiration rate",0,"Pulse + Press"
"Scenario 8",2,"SRR_M",100,0.978213042075061,1,-0.0281234075090219,3.67341542394567,"SRR_M","Soil respiration rate",20,"Pulse + Press"
"Scenario 9",2,"SRR_M",100,0.960409483254693,1,0.0598167340424289,3.63741018654019,"SRR_M","Soil respiration rate",40,"Pulse + Press"
"Scenario 1",3,"SRR_M",100,1,1,-0.00924461266975514,3.76975385918202,"SRR_M","Soil respiration rate",0,"Pulse"
"Scenario 10",3,"SRR_M",100,0.928889896970949,0.979051047718787,0.0058299190415104,3.54868957971274,"SRR_M","Soil respiration rate",60,"Pulse + Press"
"Scenario 11",3,"SRR_M",100,0.911114504637063,0.958614033025697,0.00394963092332113,3.51086873101868,"SRR_M","Soil respiration rate",80,"Pulse + Press"
"Scenario 12",3,"SRR_M",100,0.884325616844218,0.928827641507858,0.00262265313398146,3.45431056973865,"SRR_M","Soil respiration rate",100,"Pulse + Press"
"Scenario 2",3,"SRR_M",100,0.976268229457338,1,-0.0188727894076567,3.73836238063232,"SRR_M","Soil respiration rate",20,"Pulse"
"Scenario 3",3,"SRR_M",100,0.954265304388603,1,-0.048574764982906,3.71703542196644,"SRR_M","Soil respiration rate",40,"Pulse"
"Scenario 4",3,"SRR_M",100,0.928176751812956,1,0.059515427600848,3.68009939276042,"SRR_M","Soil respiration rate",60,"Pulse"
"Scenario 5",3,"SRR_M",100,0.907637904461643,1,0.0278722601585315,3.66510150867493,"SRR_M","Soil respiration rate",80,"Pulse"
"Scenario 6",3,"SRR_M",100,0.884326163263879,1,0.0148942043281473,3.6244872919008,"SRR_M","Soil respiration rate",100,"Pulse"
"Scenario 7",3,"SRR_M",100,1,1,-0.0088908625179766,3.72760738500043,"SRR_M","Soil respiration rate",0,"Pulse + Press"
"Scenario 8",3,"SRR_M",100,0.989835314771181,1,-0.0149271222440064,3.69262503684958,"SRR_M","Soil respiration rate",20,"Pulse + Press"
"Scenario 9",3,"SRR_M",100,0.953778457861098,1,0.0232245053183837,3.6185795150326,"SRR_M","Soil respiration rate",40,"Pulse + Press"
"Scenario 1",1,"Min_rate_M",100,1,0.502665694861452,-0.00930763760288066,12.6254746690705,"Min_rate_M","Nitrogen mineralisation 
rate",0,"Pulse"
