ID,Image1aes,Image1rec,Image2aes,Image2rec,Image3aes,Image3rec,Image4aes,Image4rec,Image5aes,Image5rec
186,5,5,5,5,3,3,2,2,2,2
187,4,4,3,3,3,3,3,3,3,3
188,5,5,5,5,4,4,3,3,5,5
189,5,5,5,4,3,3,2,4,5,5
190,5,5,5,5,4,4,2,2,1,1
191,5,5,3,3,2,2,2,2,2,2
192,5,5,5,5,5,5,5,5,5,5
193,3,3,4,4,3,3,4,4,4,4
194,4,4,4,4,3,3,4,4,3,4
195,4,4,3,4,1,3,1,3,5,4
196,4,4,4,4,4,4,3,3,3,2
197,4,3,3,3,2,2,2,2,1,1
198,4,2,3,4,2,2,2,2,1,1
199,5,3,5,4,5,4,5,4,5,4
200,3,4,3,4,4,4,4,4,4,5
